,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.5444,0.0377,0.0232,0.0425,0.0,0.0413
Queens,0.0105,0.0612,0.0093,0.0171,0.0,0.0074
Bronx,0.0071,0.0102,0.0509,0.0115,0.0,0.0051
Brooklyn,0.018,0.026,0.016,0.1201,0.0,0.0075
Staten Island,0.0002,0.0004,0.0002,0.0004,0.006,0.0009
