,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1553,0.0108,0.0066,0.0121,0.0,0.0118
Queens,0.0037,0.0216,0.0033,0.0061,0.0,0.0026
Bronx,0.003,0.0043,0.0216,0.0049,0.0,0.0022
Brooklyn,0.006,0.0086,0.0053,0.0397,0.0,0.0025
Staten Island,0.0001,0.0001,0.0001,0.0001,0.0021,0.0003
