,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1283,0.0089,0.0055,0.01,0.0,0.0097
Queens,0.0034,0.0197,0.003,0.0055,0.0,0.0024
Bronx,0.0029,0.0042,0.0208,0.0047,0.0,0.0021
Brooklyn,0.0053,0.0077,0.0047,0.0356,0.0,0.0022
Staten Island,0.0001,0.0001,0.0001,0.0001,0.0018,0.0003
