,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1009,0.0089,0.0075,0.0027,0.0,0.0077
Queens,0.0153,0.0424,0.0076,0.0027,0.0,0.0051
Bronx,0.0138,0.008,0.0428,0.0025,0.0,0.0043
Brooklyn,0.0121,0.007,0.006,0.0503,0.0,0.0031
Staten Island,0.0002,0.0001,0.0001,0.0,0.0026,0.0004
