,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0748,0.0066,0.0056,0.002,0.0,0.0057
Queens,0.0121,0.0335,0.006,0.0022,0.0,0.004
Bronx,0.0089,0.0051,0.0275,0.0016,0.0,0.0027
Brooklyn,0.0094,0.0055,0.0046,0.039,0.0,0.0024
Staten Island,0.0002,0.0001,0.0001,0.0,0.0022,0.0003
