,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0811,0.0056,0.0035,0.0063,0.0,0.0062
Queens,0.0024,0.0138,0.0021,0.0039,0.0,0.0017
Bronx,0.0023,0.0033,0.0166,0.0038,0.0,0.0017
Brooklyn,0.0039,0.0056,0.0035,0.026,0.0,0.0016
Staten Island,0.0,0.0001,0.0,0.0001,0.001,0.0002
