,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.6445,0.0446,0.0274,0.0503,0.0,0.0489
Queens,0.0103,0.0599,0.0091,0.0168,0.0,0.0072
Bronx,0.0069,0.01,0.0499,0.0113,0.0,0.005
Brooklyn,0.0182,0.0263,0.0162,0.1212,0.0,0.0076
Staten Island,0.0003,0.0004,0.0003,0.0005,0.0073,0.0011
