,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0698,0.0061,0.0052,0.0019,0.0,0.0053
Queens,0.0125,0.0346,0.0062,0.0022,0.0,0.0042
Bronx,0.0105,0.0061,0.0325,0.0019,0.0,0.0033
Brooklyn,0.009,0.0053,0.0045,0.0375,0.0,0.0023
Staten Island,0.0002,0.0001,0.0001,0.0,0.0018,0.0003
