,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1903,0.0132,0.0081,0.0149,0.0,0.0145
Queens,0.0046,0.0269,0.0041,0.0075,0.0,0.0032
Bronx,0.0038,0.0055,0.0274,0.0062,0.0,0.0027
Brooklyn,0.0072,0.0104,0.0064,0.0481,0.0,0.003
Staten Island,0.0001,0.0001,0.0001,0.0001,0.0022,0.0003
