,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.5067,0.0446,0.0379,0.0137,0.0,0.0385
Queens,0.049,0.1358,0.0242,0.0087,0.0,0.0164
Bronx,0.0381,0.0221,0.1183,0.0068,0.0,0.0118
Brooklyn,0.0483,0.0281,0.0238,0.2003,0.0,0.0125
Staten Island,0.0011,0.0006,0.0005,0.0002,0.0118,0.0018
