,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1407,0.0097,0.006,0.011,0.0,0.0107
Queens,0.0036,0.0208,0.0032,0.0058,0.0,0.0025
Bronx,0.0027,0.004,0.0198,0.0045,0.0,0.002
Brooklyn,0.0055,0.008,0.0049,0.0369,0.0,0.0023
Staten Island,0.0001,0.0001,0.0001,0.0001,0.0019,0.0003
