,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0619,0.0054,0.0046,0.0017,0.0,0.0047
Queens,0.0101,0.0279,0.005,0.0018,0.0,0.0034
Bronx,0.0101,0.0059,0.0314,0.0018,0.0,0.0031
Brooklyn,0.008,0.0047,0.004,0.0334,0.0,0.0021
Staten Island,0.0001,0.0001,0.0001,0.0,0.0016,0.0002
