,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0725,0.005,0.0031,0.0057,0.0,0.0055
Queens,0.0023,0.0134,0.002,0.0038,0.0,0.0016
Bronx,0.0023,0.0034,0.0168,0.0038,0.0,0.0017
Brooklyn,0.0036,0.0051,0.0032,0.0237,0.0,0.0015
Staten Island,0.0,0.0001,0.0,0.0001,0.001,0.0001
