,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0349,0.0031,0.0026,0.0009,0.0,0.0027
Queens,0.0057,0.0158,0.0028,0.001,0.0,0.0019
Bronx,0.0071,0.0041,0.022,0.0013,0.0,0.0022
Brooklyn,0.0049,0.0028,0.0024,0.0202,0.0,0.0013
Staten Island,0.0001,0.0,0.0,0.0,0.0009,0.0001
