,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.4859,0.0428,0.0363,0.0131,0.0,0.0369
Queens,0.0471,0.1305,0.0232,0.0084,0.0,0.0158
Bronx,0.037,0.0215,0.115,0.0066,0.0,0.0115
Brooklyn,0.0468,0.0272,0.0231,0.194,0.0,0.0121
Staten Island,0.0009,0.0006,0.0005,0.0002,0.0104,0.0016
