,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0379,0.0033,0.0028,0.001,0.0,0.0029
Queens,0.0062,0.0172,0.0031,0.0011,0.0,0.0021
Bronx,0.0075,0.0043,0.0232,0.0013,0.0,0.0023
Brooklyn,0.0052,0.003,0.0026,0.0214,0.0,0.0013
Staten Island,0.0001,0.0001,0.0,0.0,0.001,0.0001
