,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.5576,0.0386,0.0237,0.0435,0.0,0.0424
Queens,0.0112,0.0654,0.01,0.0183,0.0,0.0079
Bronx,0.0087,0.0125,0.0624,0.0141,0.0,0.0062
Brooklyn,0.0188,0.0272,0.0167,0.1255,0.0,0.0078
Staten Island,0.0003,0.0005,0.0003,0.0005,0.0081,0.0012
