,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1787,0.0124,0.0076,0.014,0.0,0.0136
Queens,0.0046,0.027,0.0041,0.0076,0.0,0.0033
Bronx,0.0035,0.0051,0.0252,0.0057,0.0,0.0025
Brooklyn,0.0072,0.0104,0.0064,0.0478,0.0,0.003
Staten Island,0.0001,0.0001,0.0001,0.0002,0.0025,0.0004
