,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0665,0.0046,0.0028,0.0052,0.0,0.005
Queens,0.0021,0.012,0.0018,0.0034,0.0,0.0014
Bronx,0.0023,0.0033,0.0163,0.0037,0.0,0.0016
Brooklyn,0.0033,0.0047,0.0029,0.0217,0.0,0.0014
Staten Island,0.0,0.0,0.0,0.0001,0.0008,0.0001
