,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0847,0.0075,0.0063,0.0023,0.0,0.0064
Queens,0.0134,0.037,0.0066,0.0024,0.0,0.0045
Bronx,0.0118,0.0069,0.0368,0.0021,0.0,0.0037
Brooklyn,0.0103,0.006,0.0051,0.0429,0.0,0.0027
Staten Island,0.0002,0.0001,0.0001,0.0,0.0024,0.0004
