,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1552,0.0107,0.0066,0.0121,0.0,0.0118
Queens,0.0039,0.0228,0.0035,0.0064,0.0,0.0027
Bronx,0.0029,0.0042,0.021,0.0048,0.0,0.0021
Brooklyn,0.0061,0.0089,0.0054,0.0409,0.0,0.0026
Staten Island,0.0001,0.0001,0.0001,0.0001,0.002,0.0003
