,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1025,0.009,0.0077,0.0028,0.0,0.0078
Queens,0.0156,0.0433,0.0077,0.0028,0.0,0.0052
Bronx,0.0141,0.0082,0.0439,0.0025,0.0,0.0044
Brooklyn,0.0126,0.0073,0.0062,0.0523,0.0,0.0033
Staten Island,0.0003,0.0001,0.0001,0.0,0.0028,0.0004
