,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.4977,0.0438,0.0372,0.0134,0.0,0.0378
Queens,0.0475,0.1316,0.0234,0.0085,0.0,0.0159
Bronx,0.0362,0.021,0.1124,0.0064,0.0,0.0112
Brooklyn,0.0467,0.0271,0.0231,0.1938,0.0,0.0121
Staten Island,0.001,0.0006,0.0005,0.0002,0.0111,0.0017
