,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.2156,0.0149,0.0092,0.0168,0.0,0.0164
Queens,0.0055,0.032,0.0049,0.0089,0.0,0.0039
Bronx,0.0044,0.0064,0.0317,0.0072,0.0,0.0032
Brooklyn,0.0085,0.0123,0.0076,0.0568,0.0,0.0036
Staten Island,0.0001,0.0002,0.0001,0.0002,0.0029,0.0004
