,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1249,0.011,0.0093,0.0034,0.0,0.0095
Queens,0.0181,0.0502,0.0089,0.0032,0.0,0.0061
Bronx,0.0153,0.0089,0.0474,0.0027,0.0,0.0047
Brooklyn,0.0148,0.0086,0.0073,0.0614,0.0,0.0038
Staten Island,0.0003,0.0002,0.0001,0.0001,0.0031,0.0005
