,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.4649,0.041,0.0348,0.0125,0.0,0.0353
Queens,0.045,0.1248,0.0222,0.008,0.0,0.0151
Bronx,0.0333,0.0193,0.1033,0.0059,0.0,0.0103
Brooklyn,0.0434,0.0252,0.0214,0.18,0.0,0.0113
Staten Island,0.001,0.0006,0.0005,0.0002,0.0105,0.0016
