,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1947,0.0135,0.0083,0.0152,0.0,0.0148
Queens,0.0045,0.026,0.004,0.0073,0.0,0.0031
Bronx,0.0037,0.0054,0.0267,0.0061,0.0,0.0027
Brooklyn,0.0074,0.0107,0.0066,0.0496,0.0,0.0031
Staten Island,0.0001,0.0001,0.0001,0.0002,0.0024,0.0004
