,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.4803,0.0423,0.0359,0.013,0.0,0.0365
Queens,0.0484,0.1341,0.0239,0.0086,0.0,0.0162
Bronx,0.0375,0.0218,0.1165,0.0067,0.0,0.0117
Brooklyn,0.0475,0.0276,0.0234,0.1969,0.0,0.0123
Staten Island,0.0011,0.0006,0.0005,0.0002,0.0116,0.0017
