,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.0493,0.0043,0.0037,0.0013,0.0,0.0037
Queens,0.0083,0.0229,0.0041,0.0015,0.0,0.0028
Bronx,0.0088,0.0051,0.0274,0.0016,0.0,0.0027
Brooklyn,0.0065,0.0038,0.0032,0.0272,0.0,0.0017
Staten Island,0.0001,0.0001,0.0001,0.0,0.0013,0.0002
