,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1931,0.0134,0.0082,0.0151,0.0,0.0147
Queens,0.0045,0.0263,0.004,0.0073,0.0,0.0032
Bronx,0.0039,0.0056,0.0278,0.0063,0.0,0.0028
Brooklyn,0.0073,0.0106,0.0065,0.0487,0.0,0.003
Staten Island,0.0001,0.0001,0.0001,0.0002,0.0024,0.0004
