,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,0.1055,0.0093,0.0079,0.0028,0.0,0.008
Queens,0.016,0.0443,0.0079,0.0028,0.0,0.0053
Bronx,0.0144,0.0083,0.0446,0.0026,0.0,0.0045
Brooklyn,0.0131,0.0076,0.0065,0.0543,0.0,0.0034
Staten Island,0.0002,0.0001,0.0001,0.0,0.0027,0.0004
