,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,757190,66704,56639,20425,0,57508
Queens,101525,281182,50090,18063,0,33935
Bronx,47197,27424,146505,8397,0,14650
Brooklyn,111083,64545,54805,460868,0,28804
Staten Island,458,266,226,81,5023,756
