,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,794574,69998,59436,21434,0,60347
Queens,106288,294376,52440,18911,0,35528
Bronx,52020,30226,161474,9255,0,16147
Brooklyn,115103,66881,56789,477548,0,29846
Staten Island,451,262,222,80,4949,745
