,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,246664,17075,10498,19260,0,18733
Queens,8645,50407,7681,14091,0,6083
Bronx,4212,6087,30294,6866,0,3029
Brooklyn,15486,22377,13759,103246,0,6452
Staten Island,41,60,36,67,1003,151
