,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,207662,18294,15533,5601,0,15771
Queens,41504,114949,20477,7384,0,13873
Bronx,21919,12736,68040,3900,0,6804
Brooklyn,38438,22334,18964,159475,0,9967
Staten Island,137,79,67,24,1504,226
