,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,330835,22902,14081,25833,0,25126
Queens,10958,63893,9736,17861,0,7711
Bronx,5473,7908,39357,8920,0,3935
Brooklyn,20387,29458,18112,135918,0,8494
Staten Island,53,76,47,86,1280,192
