,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,170591,11809,7260,13320,0,12956
Queens,6568,38295,5835,10705,0,4621
Bronx,3726,5384,26796,6073,0,2679
Brooklyn,11633,16809,10335,77557,0,4847
Staten Island,29,43,26,48,720,108
