,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,206329,18176,15433,5565,0,15670
Queens,42010,116352,20727,7474,0,14042
Bronx,22608,13136,70179,4022,0,7017
Brooklyn,38513,22378,19001,159786,0,9986
Staten Island,147,85,72,26,1613,243
