,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,227185,15726,9669,17739,0,17254
Queens,8515,49646,7565,13878,0,5991
Bronx,4249,6139,30556,6925,0,3055
Brooklyn,15349,22178,13636,102329,0,6395
Staten Island,36,52,32,58,871,131
