,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,321210,22235,13671,25081,0,24395
Queens,10154,59203,9021,16550,0,7145
Bronx,5267,7611,37880,8585,0,3788
Brooklyn,18927,27349,16815,126185,0,7886
Staten Island,51,74,45,83,1240,186
