,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,204662,18029,15309,5520,0,15544
Queens,41883,115998,20664,7452,0,13999
Bronx,22302,12959,69229,3968,0,6922
Brooklyn,38172,22180,18833,158373,0,9898
Staten Island,134,78,66,23,1476,222
