,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,262892,18198,11189,20527,0,19966
Queens,9140,53291,8120,14897,0,6431
Bronx,4217,6094,30327,6874,0,3032
Brooklyn,16094,23255,14298,107296,0,6706
Staten Island,42,61,37,69,1026,154
