,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,306933,21247,13064,23966,0,23311
Queens,9589,55912,8519,15630,0,6748
Bronx,5166,7464,37147,8419,0,3714
Brooklyn,17876,25829,15881,119175,0,7448
Staten Island,43,62,38,70,1043,157
