,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,64323,5666,4811,1735,0,4885
Queens,13622,37728,6720,2423,0,4553
Bronx,10446,6069,32425,1858,0,3242
Brooklyn,12873,7479,6351,53408,0,3338
Staten Island,38,22,18,6,418,63
