,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,109035,9605,8156,2941,0,8281
Queens,24938,69069,12304,4437,0,8336
Bronx,15032,8734,46663,2674,0,4666
Brooklyn,22306,12961,11005,92547,0,5784
Staten Island,78,45,38,14,865,130
