,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,334152,23131,14222,26092,0,25378
Queens,10671,62216,9480,17392,0,7508
Bronx,5583,8067,40149,9100,0,4014
Brooklyn,19782,28584,17575,131884,0,8242
Staten Island,51,74,45,83,1243,187
