,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,886663,61379,37739,69235,0,67341
Queens,23658,137934,21018,38559,0,16647
Bronx,10044,14513,72228,16371,0,7222
Brooklyn,46105,66618,40961,307368,0,19210
Staten Island,117,170,104,192,2849,429
