,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,769106,67754,57531,20747,0,58413
Queens,107435,297552,53006,19115,0,35911
Bronx,53124,30867,164901,9452,0,16490
Brooklyn,120351,69930,59378,499320,0,31207
Staten Island,488,283,241,86,5354,806
