,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,197906,13700,8423,15453,0,15030
Queens,6833,39844,6071,11138,0,4808
Bronx,3385,4891,24344,5517,0,2434
Brooklyn,11935,17245,10603,79570,0,4973
Staten Island,31,45,28,51,767,115
