,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,155969,13740,11666,4207,0,11845
Queens,34663,96002,17101,6167,0,11586
Bronx,19345,11240,60049,3442,0,6004
Brooklyn,31050,18041,15319,128822,0,8051
Staten Island,115,66,56,20,1262,190
