,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,147782,13018,11054,3986,0,11223
Queens,32209,89208,15891,5730,0,10766
Bronx,18218,10585,56551,3241,0,5655
Brooklyn,29253,16997,14433,121368,0,7585
Staten Island,115,66,56,20,1261,190
