,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,168853,14875,12630,4554,0,12824
Queens,34787,96346,17163,6189,0,11628
Bronx,19602,11390,60849,3487,0,6084
Brooklyn,32172,18694,15873,133480,0,8342
Staten Island,116,67,57,20,1279,192
