,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,204768,14175,8715,15989,0,15552
Queens,7460,43496,6628,12159,0,5249
Bronx,3985,5758,28658,6495,0,2865
Brooklyn,13528,19547,12018,90188,0,5636
Staten Island,34,49,30,55,821,123
