,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,67992,5989,5086,1834,0,5164
Queens,15112,41854,7456,2688,0,5051
Bronx,10505,6104,32611,1869,0,3261
Brooklyn,13866,8056,6841,57528,0,3595
Staten Island,48,27,23,8,526,79
