,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,167901,14791,12559,4529,0,12751
Queens,35919,99482,17721,6391,0,12006
Bronx,20318,11806,63070,3615,0,6307
Brooklyn,32680,18989,16123,135587,0,8474
Staten Island,122,71,60,21,1342,202
