,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,160035,14098,11971,4317,0,12154
Queens,34741,96219,17140,6181,0,11612
Bronx,19870,11545,61678,3535,0,6167
Brooklyn,31239,18151,15413,129609,0,8100
Staten Island,108,62,53,19,1184,178
