,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,73480,5086,3127,5737,0,5580
Queens,3069,17898,2727,5003,0,2160
Bronx,2502,3615,17994,4078,0,1799
Brooklyn,5943,8588,5280,39625,0,2476
Staten Island,11,16,10,18,273,41
