,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,324415,22457,13808,25331,0,24639
Queens,10045,58571,8925,16373,0,7068
Bronx,5412,7820,38917,8821,0,3891
Brooklyn,18861,27252,16756,125740,0,7858
Staten Island,47,68,42,77,1145,172
