,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,143566,12647,10739,3872,0,10903
Queens,31700,87797,15640,5640,0,10596
Bronx,18076,10503,56110,3216,0,5611
Brooklyn,28355,16475,13989,117642,0,7352
Staten Island,109,63,54,19,1203,181
