,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,818895,72140,61255,22090,0,62194
Queens,109024,301952,53790,19398,0,36442
Bronx,52839,30702,164017,9401,0,16401
Brooklyn,121415,70548,59903,503736,0,31483
Staten Island,480,279,237,85,5265,793
