,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,110182,9706,8241,2972,0,8368
Queens,24688,68377,12180,4392,0,8252
Bronx,13822,8031,42905,2459,0,4290
Brooklyn,21729,12625,10720,90152,0,5634
Staten Island,82,48,40,14,909,137
