,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,357485,24746,15215,27914,0,27150
Queens,12958,75553,11512,21121,0,9118
Bronx,6553,9469,47126,10681,0,4712
Brooklyn,23483,33932,20863,156558,0,9784
Staten Island,56,81,49,91,1356,204
