,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,156408,10827,6657,12213,0,11879
Queens,6210,36206,5517,10121,0,4369
Bronx,3689,5331,26532,6013,0,2653
Brooklyn,11144,16103,9901,74300,0,4643
Staten Island,26,37,23,42,635,95
