,Manhattan,Queens,Bronx,Brooklyn,Staten Island,Out of City
Manhattan,1263200,87444,53766,98637,0,95939
Queens,25476,148534,22633,41522,0,17926
Bronx,12244,17691,88045,19956,0,8804
Brooklyn,53855,77816,47846,359038,0,22439
Staten Island,195,282,173,318,4715,710
